id,empresa_id,proveedor_id,categoria_id,suministro,calificacion_actual,nota_actual,proxima_evaluacion
4454fe09-b119-539f-8947-2c0e03c15092,a6f1d8c3-6194-5804-ac16-a98cc205559d,0a8e173f-11a1-531a-bb86-f0bfdca2daad,6bf4bdda-3739-51f4-be22-48b0e38ea47a,"ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES",confiable,75.0,2025-08-24
63572bc5-01d3-5f00-9a31-33daaa89c02c,a6f1d8c3-6194-5804-ac16-a98cc205559d,bca66c1f-bbf7-5f8e-be4c-a9844a5e7db6,27eab39b-d505-5d1f-85ff-615de00b8e9a,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2026-04-28
a6239ba5-b246-5230-bac9-2c21c6f81c0b,a6f1d8c3-6194-5804-ac16-a98cc205559d,bca66c1f-bbf7-5f8e-be4c-a9844a5e7db6,6bf4bdda-3739-51f4-be22-48b0e38ea47a,SERVICIOS GENERALES,confiable,80.0,2025-10-30
0bd3f2b1-d879-58d2-8d63-5e032a19afbf,a6f1d8c3-6194-5804-ac16-a98cc205559d,bca66c1f-bbf7-5f8e-be4c-a9844a5e7db6,a18fb552-93f5-58a4-be11-ce3e5274f443,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-05-03
54cde019-6774-5b40-a222-e29911fe2324,a6f1d8c3-6194-5804-ac16-a98cc205559d,b14ee9c6-e831-5157-8b47-78e1a693e0d0,27eab39b-d505-5d1f-85ff-615de00b8e9a,TRANSPORTE DE CARGA POR CARRETERA,confiable,75.0,2026-05-14
76eef151-907a-5270-b5c0-b1a5fe64e0cc,a6f1d8c3-6194-5804-ac16-a98cc205559d,b14ee9c6-e831-5157-8b47-78e1a693e0d0,6bf4bdda-3739-51f4-be22-48b0e38ea47a,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-11-15
a2cfb800-032a-5e1a-8014-47742217cf25,a6f1d8c3-6194-5804-ac16-a98cc205559d,b14ee9c6-e831-5157-8b47-78e1a693e0d0,a18fb552-93f5-58a4-be11-ce3e5274f443,TRANSPORTE DE CARGA POR CARRETERA,confiable,80.0,2025-05-19
25ba258d-74f2-5917-99e0-613c6347b57a,a6f1d8c3-6194-5804-ac16-a98cc205559d,02f82595-f69d-5275-a621-350eb6c03fab,27eab39b-d505-5d1f-85ff-615de00b8e9a,FERRETERIA Y FONTANERIA,confiable,75.0,2026-04-08
fa6a7bca-278b-5636-bd0a-28353067fb1f,a6f1d8c3-6194-5804-ac16-a98cc205559d,4228a080-9487-5dd4-ae5f-f97aa80c4572,27eab39b-d505-5d1f-85ff-615de00b8e9a,INSTALACION DE SISTEMAS CONTRA INCENDIOS,confiable,90.0,2026-03-10
399c7535-4c56-597a-a4bb-07b085bb6c0f,a6f1d8c3-6194-5804-ac16-a98cc205559d,4228a080-9487-5dd4-ae5f-f97aa80c4572,6bf4bdda-3739-51f4-be22-48b0e38ea47a,INSTALACION DE SISTEMAS CONTRA INCENDIOS,confiable,90.0,2025-09-11
